5-HT3R	HTR3A
5HT3R	HTR3A
5-HT4	HTR4
5-HT4R	HTR4
5-HT5A	HTR5A
5-HT5B	HTR5BP
5HT6	HTR1F
5-HT6	HTR6
5-HT6R	HTR6
5-HT7	HTR7
5-HTR2C	HTR2C
5HTR2C	HTR2C
5-HTTLPR	SLC6A4
5-HTT	SLC6A4
5HTT	SLC6A4
5-LO	ALOX5
5-LOX	ALOX5
5LPG	ALOX5
5'-NT	ACPP
5-Opase	OPLAH
5'OY11.1	ZNF280B
5PTASE	INPP5A
5PTase	INPP5B
5qNCA	KDM3B
5T4AG	TPBG
5T4	TPBG
6030440G05Rik	FRMD4B
60B8AG	S100A8
60B8AG	S100A9
60H	HMGN2P12
6-16	IFI6
61E3.4	NPIPB4
61E3.4	SMG1
6330408P19Rik	NOS1AP
6330578E17Rik	COA5
6.3	PLXNA3
6430402L03Rik	RTL5
64kD	LMOD1
6530402N02Rik	APH1A
6530404F10Rik	KCTD18
65K	USP39
67LR	RPSA
6.8PL	ATP5MPL
6A1	SLC39A2
6A3-5	ARID1B
6C6-AG	BCAP31
6Ckine	CCL21
6M1-16	OR2H1
6M1-18	OR11A1
6M1-1	OR2B3
6M1-21	OR5V1
6M1-3	OR2J3
6M1-4P	OR2J1
6M1-7P	OR2H4P
6PGD	PGD
6PGL	PGLS
6S2650E	HCP5
71-7A2	OFD1P18Y
71-7A3	OFD1P17
71-7A5	OFD1P17
71-7A	OFD1
721P	AKAP17A
7-27P	IGHV7-27
7-34.1P	IGHV7-34-1
7-40P	IGHV7-40
753P9	SASH3
7-56P	IGHV7-56
76P	TUBGCP4
7A5	MACC1
7B2	SCG5
7B4	CDH5
7h3	SYDE1
7L1a	RN7SL1
7L1C	RN7SL2
7L23	RN7SL7P
7L28	RN7SL4P
7L30.1	RN7SL2
7L30.2	RN7SL3
7L63	RN7SL8P
7L7	RN7SL6P
7LEM1	RN7SL5P
7M1-2	OR2F1
7SK	RN7SK
7SL1c	RN7SL2
7SL	RN7SL1
7TMR	GPR182
80K-L	MARCKS
82-FIP	NUFIP2
8430410J10Rik	ALPK1
87U6	GNAI3
87U6	RNU6V
8B	SYNE1
8D6A	CD320
8D6	CD320
8HS20	VPREB3
90K	LGALS3BP
9130403P13Rik	MANSC1
921-L	CPLX2
9-27	IFITM1
92M18.3	N4BP2L2
9830169G11Rik	ELMOD2
99D8.1	CCT2
9cRDH	RDH5
9F	FAM50A
9G8	SLU7
9G8	SRSF7
A10	IGKV6D-21
A-116A10.1	NAE1
A11a	IGKV3D-20
A11	IGKV3D-20
A121	EIF1
A12	IGKV2D-19
a1/3GTP	GGTA1P
A13	IGKV2D-18
A14GALT	A4GALT
A14	IGKV6D-41
A-152E5.1	CCL22
A-152E5.3	CCL17
A15a	IGKV1-32
A15	IGKV1-32
A15	TSPAN7
A1-5	ZNF2
A16a	IGKV3-31
A16	IGKV3-31
A170	SQSTM1
